No,학년,학수번호,과목분야,교과번호,"이수
구분","과목
번호",교과목명,영문교과목명,"강의
계획서",비고,학점,시간,"수강
학부(과)/전공","제청
학부(과)/전공","개설
학부(과)/전공",강의요시/강의실,담당교수,"강의비율
대면:녹화:실시간","수업
유형","캡스톤
(ABF제
적용)","NCS
(ABF제
적용)","패스
과목","원어
강의","원어
유형","현재
인원","학부
인원","대학원
인원","제한
인원","과목
해설","강의
유형","강의
종류",영역,합반
1,1,BAAA00736,PHIL,0105101,지교,0001,논리학,LOGICS,,,3.0,3.0," 문과대학, 철학과",철학과,문과대학," 월17-18(종강114), 목13-16(종강114)", 김도식,100:0:0,,0,0,,0,,67,67,0,68,,이론,일반,,0
2,1,BAAA00736,PHIL,0105101,지교,0002,논리학,LOGICS,,,3.0,3.0," 문과대학, 철학과",철학과,문과대학, 수07-12(문204), 강선아,100:0:0,,0,0,,0,,51,51,0,83,,이론,일반,,0
3,1,BAAA04078,KORE,0100101,지교,0003,언어와문화,LANGUAGE AND CULTURE,,국어국문학과 1학년 학생만 수강신청 가능,3.0,3.0, 국어국문학과,국어국문학과,문과대학," 화10-12(공B155), 수10-12(공B155)", 오재혁,100:0:0,토론식강의,0,0,,0,,34,34,0,56,,이론,일반,,0
4,1,BAAA04078,KORE,0100101,지교,0004,언어와문화,LANGUAGE AND CULTURE,,국어국문학과 2~4학년 및 타과 학생 수강신청 가능,3.0,3.0," 문과대학, 국어국문학과",국어국문학과,문과대학, 목01-06(문309), 조용준,100:0:0,,0,0,,0,,28,28,0,61,,이론,일반,,0
5,1,BAAA04081,HIST,0101101,지교,0005,역사학입문,INTRODUCTION TO HISTORY,,,3.0,3.0," 문과대학, 사학과, 지리, 지리학과",사학과,문과대학," 월04-06(문308), 수04-06(문308)", 권형진,100:0:0,,0,0,,0,,43,43,0,62,,이론,일반,,0
6,1,BAAA04098,CHIN,0199101,지교,0006,중국문화산책,INTRODUCTION TO CHINESE CULTURE,,,3.0,3.0," 문과대학, 중어중문학과",중어중문학과,문과대학, 월07-12(문212), 남종진,100:0:0,,0,0,,0,,45,45,0,45,,이론,일반,,0
7,1,BAAA04098,CHIN,0199101,지교,0007,중국문화산책,INTRODUCTION TO CHINESE CULTURE,,,3.0,3.0," 문과대학, 중어중문학과",중어중문학과,문과대학, 금09-14(문210), 정인숙,100:0:0,,0,0,,0,,21,21,0,45,,이론,일반,,0
8,1,BAAA16892,PSYC,1600101,지교,0008,광고와소비자행동,ADVERTISING AND CONSUMER BEHAVIOR,,,3.0,3.0," 문과대학, 미디어커뮤니케이션학과",미디어커뮤니케이션학과,문과대학," 월10-12(문213), 수07-09(문213)", 김유정,71.9:28.1:0,,0,0,,0,,66,66,0,66,,이론,일반,,0
9,1,BAAA48974,KORE,0201101,지교,0009,한국문학과사회,KOREAN LITERATURE AND SOCIETY,,국어국문학과 1학년 학생만 수강신청 가능,3.0,3.0, 국어국문학과,국어국문학과,문과대학," 화01-03(문309), 수01-03(문309)", 김진기,71.9:28.1:0,토론식강의,0,0,,0,,32,32,0,61,,이론,일반,,0
10,1,BAAA48974,KORE,0201101,지교,0010,한국문학과사회,KOREAN LITERATURE AND SOCIETY,,국어국문학과 2~4학년 및 타과 학생 수강신청 가능,3.0,3.0," 문과대학, 국어국문학과",국어국문학과,문과대학, 수09-14(문309), 김소연,100:0:0,,0,0,,0,,35,35,0,61,,이론,일반,,0
11,1,BAAA49033,HIST,0106101,지교,0011,문화예술사입문,INTRODUCTION TO CULTURAL AND ART HISTORY,,,3.0,3.0," 문과대학, 사학과",사학과,문과대학, 수01-06(문204), 김지혜,93.8:6.3:0,,0,0,,0,,71,71,0,83,,이론,일반,,0
12,1,BAAA49081,KORE,0202101,지교,0012,고전읽기의즐거움,READING AND APPRECIATING KOREAN CLASSIC LITERATURES ,,국어국문학과 1학년 학생만 수강신청 가능,3.0,3.0, 국어국문학과,국어국문학과,문과대학," 화04-06(문303), 수04-06(문303)", 신동흔,100:0:0,토론식강의,0,0,,0,,37,37,0,61,,이론,일반,,0
13,1,BAAA49081,KORE,0202101,지교,0013,고전읽기의즐거움,READING AND APPRECIATING KOREAN CLASSIC LITERATURES ,,국어국문학과 2~4학년 및 타과 학생 수강신청 가능,3.0,3.0," 문과대학, 국어국문학과",국어국문학과,문과대학, 금03-08(문309), 나지영,100:0:0,,0,0,,0,,37,37,0,61,,이론,일반,,0
14,1,BAAA53253,ENGL,0299101,지교,0014,영미문학명작읽기,READING IN CLASSIC ENGLISH LITERATURE,,,3.0,3.0," 문과대학, 영어영문학과",영어영문학과,문과대학," 월07-09(문302-1), 수10-12(문302-1)", 강형민,100:0:0,,0,0,,0,,15,15,0,48,,이론,일반,,0
15,1,BAAA53253,ENGL,0299101,지교,0015,영미문학명작읽기,READING IN CLASSIC ENGLISH LITERATURE,,,3.0,3.0," 문과대학, 영어영문학과",영어영문학과,문과대학," 월10-12(문302-1), 수07-09(문302-1)", 강형민,100:0:0,,0,0,,1,영어,22,22,0,48,,이론,일반,,0
16,1,BAAA53254,ENGL,0199101,지교,0016,기초영어글쓰기,BASIC ENGLISH WRITING,,,3.0,3.0," 문과대학, 영어영문학과",영어영문학과,문과대학," 화01-03(문211), 목04-06(문211)", 라이언,100:0:0,,0,0,,1,영어,29,29,0,30,,이론,일반,,0
17,1,BAAA53254,ENGL,0199101,지교,0017,기초영어글쓰기,BASIC ENGLISH WRITING,,,3.0,3.0," 문과대학, 영어영문학과",영어영문학과,문과대학," 화04-06(문211), 목01-03(문211)", 라이언,100:0:0,,0,0,,1,영어,30,30,0,30,,이론,일반,,0
18,1,BAAA53389,PHIL,0506101,지교,0018,예술콘텐츠연구,CONTENTS IN ARTS,,외국인 유학생 전용 분반. 문화콘텐츠학과 본전공생만 신청가능. 다/부/연계전공생은 전체수강신청기간에 신청바람.,3.0,3.0," 문과대학, 문화콘텐츠학과",문화콘텐츠학과,문과대학," 화07-09(공B361-2), 목07-09(공B361-2)", 이동배,100:0:0,,0,0,,0,,16,16,0,44,,이론,일반,,0
19,1,BAAA53389,PHIL,0506101,지교,0019,예술콘텐츠연구,CONTENTS IN ARTS,,문화콘텐츠학과 본전공생만 신청가능. 다/부/연계전공생은 전체수강신청기간에 신청바람.,3.0,3.0," 문과대학, 문화콘텐츠학과",문화콘텐츠학과,문과대학, 목03-08(상허관218), 이화진,100:0:0,,0,0,,0,,56,56,0,57,,이론,일반,,0
20,1,BAAA53547,JOUR,0202101,지교,0020,저널리즘의이해,FUNDAMENTALS OF JOURNALISM,,,3.0,3.0," 문과대학, 미디어커뮤니케이션학과",미디어커뮤니케이션학과,문과대학," 월07-09(문213), 수10-12(문213)", 손석춘,100:0:0,,0,0,,0,,48,48,0,48,,이론,일반,,0
21,1,BAAA53547,JOUR,0202101,지교,0021,저널리즘의이해,FUNDAMENTALS OF JOURNALISM,,,3.0,3.0," 문과대학, 미디어커뮤니케이션학과",미디어커뮤니케이션학과,문과대학, 수13-18(문208), 김철훈,100:0:0,,0,0,,0,,13,13,0,44,,이론,일반,,0
22,1,BAAA59091,OHUM,0000102,지교,0022,발상의전환,A SHIFT IN IDEAS,,외국인 유학생 전용 분반. 문화콘텐츠학과 본전공생만 신청가능. 다/부/연계전공생은 전체수강신청기간에 신청바람.,3.0,3.0," 문과대학, 문화콘텐츠학과",문화콘텐츠학과,문과대학," 화13-15(문305), 수13-15(문305)", 이동배,100:0:0,,0,0,,0,,13,13,0,48,,이론,일반,,0
